"reasons__count","reasons__items__summary","reasons__items__type","reasons__items__reasonName","venue__id","venue__name","venue__location__address","venue__location__lat","venue__location__lng","venue__location__labeledLatLngs__label","venue__location__labeledLatLngs__lat","venue__location__labeledLatLngs__lng","venue__location__distance","venue__location__postalCode","venue__location__cc","venue__location__city","venue__location__state","venue__location__country","venue__location__formattedAddress__001","venue__location__formattedAddress__002","venue__location__formattedAddress__003","venue__categories__id","venue__categories__name","venue__categories__pluralName","venue__categories__shortName","venue__categories__icon__prefix","venue__categories__icon__suffix","venue__categories__primary","venue__photos__count","referralId","venue__location__crossStreet","venue__venuePage__id"
"0","This spot is popular","general","globalInteractionReason","51bcd51b498e763c13169a70","Hydra","Via Antonio Mazza 30","40.67837662382455","14.761004272116306","display","40.67837662382455","14.761004272116306","755","84100","IT","Salerno","Campania","Italia","Via Antonio Mazza 30","84100 Salerno Campania","Italia","4bf58dd8d48988d1c4941735","Restaurant","Restaurants","Restaurant","https://ss3.4sqi.net/img/categories_v2/food/default_",".png","True","0","e-0-51bcd51b498e763c13169a70-11","",""
"0","This spot is popular","general","globalInteractionReason","4fe97c9e108145b9293a908f","Laltrolato Think Eat Drink","Piazza flavio gioia 26","40.67742714918772","14.763156966523743","display","40.67742714918772","14.763156966523743","702","84122","IT","Salerno","Campania","Italia","Piazza flavio gioia 26 (Via Velia)","84122 Salerno Campania","Italia","4bf58dd8d48988d121941735","Lounge","Lounges","Lounge","https://ss3.4sqi.net/img/categories_v2/nightlife/default_",".png","True","0","e-0-4fe97c9e108145b9293a908f-12","Via Velia",""
"0","This spot is popular","general","globalInteractionReason","4f08abc5e4b0e8907ad58691","Osteria Nonna Maria","Via Roma, 82","40.67788667064549","14.760557097034377","display","40.67788667064549","14.760557097034377","818","84100","IT","Salerno","Campania","Italia","Via Roma, 82 (Vicolo Massiccio Salernitano, 77)","84100 Salerno Campania","Italia","4bf58dd8d48988d1c4941735","Restaurant","Restaurants","Restaurant","https://ss3.4sqi.net/img/categories_v2/food/default_",".png","True","0","e-0-4f08abc5e4b0e8907ad58691-13","Vicolo Massiccio Salernitano, 77",""
"0","This spot is popular","general","globalInteractionReason","4f08f46de4b0e624d7b65165","Teatro Vittoria","Via Roma","40.6786858294665","14.756853874590469","display","40.6786858294665","14.756853874590469","1040","","IT","Salerno","Campania","Italia","Via Roma","Salerno Campania","Italia","4bf58dd8d48988d11f941735","Nightclub","Nightclubs","Nightclub","https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_",".png","True","0","e-0-4f08f46de4b0e624d7b65165-14","",""
"0","This spot is popular","general","globalInteractionReason","59bd9118b0405605d8e98ca8","Madìa","","40.682037","14.775067","display","40.682037","14.775067","589","84135","IT","Salerno","Campania","Italia","84135 Salerno Campania","Italia","","4bf58dd8d48988d1ca941735","Pizza Place","Pizza Places","Pizza","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","True","0","e-0-59bd9118b0405605d8e98ca8-15","",""
"0","This spot is popular","general","globalInteractionReason","4c30bcd609a99c740d230b2a","Castello di Arechi","Via Frà Generoso","40.68446195903438","14.75489616394043","display","40.68446195903438","14.75489616394043","1137","84125","IT","Salerno","Campania","Italia","Via Frà Generoso","84125 Salerno Campania","Italia","4bf58dd8d48988d190941735","History Museum","History Museums","History Museum","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_",".png","True","0","e-0-4c30bcd609a99c740d230b2a-16","",""
"0","This spot is popular","general","globalInteractionReason","4e18212518a8166f73887ae7","Corso Vittorio Emanuele","Corso Vittorio Emanuele","40.67656566745157","14.767650438891527","display","40.67656566745157","14.767650438891527","660","84100","IT","Salerno","Campania","Italia","Corso Vittorio Emanuele","84100 Salerno Campania","Italia","4bf58dd8d48988d162941735","Other Great Outdoors","Other Great Outdoors","Other Outdoors","https://ss3.4sqi.net/img/categories_v2/parks_outdoors/outdoors_",".png","True","0","e-0-4e18212518a8166f73887ae7-17","",""
"0","This spot is popular","general","globalInteractionReason","5049ccab72dae364d5318875","Sweety Gelato Salerno - Gelato espresso Self-service","via roma","40.678398066478216","14.757925962343881","display","40.678398066478216","14.757925962343881","973","84121","IT","Salerno","Campania","Italia","via roma","84121 Salerno Campania","Italia","4bf58dd8d48988d1c9941735","Ice Cream Shop","Ice Cream Shops","Ice Cream","https://ss3.4sqi.net/img/categories_v2/food/icecream_",".png","True","0","e-0-5049ccab72dae364d5318875-18","",""
"0","This spot is popular","general","globalInteractionReason","4fa594a0e4b02e6a55850a01","Ristorante 34 ""da Lucia""","","40.66998438082382","14.728826198533541","display","40.66998438082382","14.728826198533541","3597","","IT","","","Italia","Italia","","","4bf58dd8d48988d1c0941735","Mediterranean Restaurant","Mediterranean Restaurants","Mediterranean","https://ss3.4sqi.net/img/categories_v2/food/mediterranean_",".png","True","0","e-0-4fa594a0e4b02e6a55850a01-19","",""
"0","This spot is popular","general","globalInteractionReason","4c023ca2310fc9b65b34c461","Villa Comunale","Via Roma","40.67840865193191","14.753501415252686","display","40.67840865193191","14.753501415252686","1314","","IT","Salerno","Campania","Italia","Via Roma (Lungomare Trieste)","Salerno Campania","Italia","4bf58dd8d48988d15a941735","Garden","Gardens","Garden","https://ss3.4sqi.net/img/categories_v2/parks_outdoors/garden_",".png","True","0","e-0-4c023ca2310fc9b65b34c461-20","Lungomare Trieste",""
